                 Decay              Y(i)       E(i)     Delta(i)
Nuclide  T1/2    Mode       X-ray  (/nt)      (MeV)     Gy kg/nt
----------------------------------------------------------------
Hg-195m 41.6 h EC B- IT     K -L2  1.29E-02  6.910E-02  1.42E-16
                            K -L3  2.18E-02  7.107E-02  2.48E-16
                            K -M2  2.41E-03  8.008E-02  3.09E-17
                            K -M3  4.66E-03  8.052E-02  6.01E-17
                            K -M4  6.21E-05  8.096E-02  8.05E-19
                            K -M5  7.59E-05  8.105E-02  9.86E-19
                            L -M4  5.67E-04  8.268E-02  7.51E-18
                            L -M5  1.11E-03  8.279E-02  1.47E-17
                            K -N2  1.61E-05  8.297E-02  2.14E-19
                            K -N3  1.97E-05  8.299E-02  2.62E-19
                            K -N4  1.31E-04  8.327E-02  1.75E-18
                            K -N5  2.57E-04  8.328E-02  3.43E-18
                            K -O2  1.72E-06  8.334E-02  2.30E-20
                            K -O3  2.03E-06  8.334E-02  2.71E-20
                            L1-L3  8.92E-06  5.720E-04  8.18E-22
                            L1-M2  1.89E-03  2.539E-03  7.71E-19
                            L1-M3  2.32E-02  1.155E-02  4.29E-17
                            L1-M4  2.63E-02  1.199E-02  5.04E-17
                            L1-M5  7.93E-04  1.243E-02  1.58E-18
                            L1-N2  1.19E-03  1.253E-02  2.38E-18
                            L1-N3  5.89E-03  1.415E-02  1.34E-17
                            L1-N4  7.22E-03  1.426E-02  1.65E-17
                            L1-N5  1.19E-04  1.445E-02  2.76E-19
                            L1-O2  1.88E-04  1.447E-02  4.36E-19
                            L1-O3  1.09E-03  1.474E-02  2.57E-18
                            L1-03  1.30E-03  1.476E-02  3.07E-18
                            L1-O4  1.19E-05  1.481E-02  2.82E-20
                            L1-O5  1.83E-05  1.481E-02  4.35E-20
                            L2-N1  1.39E-06  1.967E-03  4.40E-22
                            L2-N3  1.40E-03  1.072E-02  2.41E-18
                            L2-N4  5.47E-05  1.142E-02  1.00E-19
                            L2-N6  5.17E-02  1.186E-02  9.83E-17
                            L2-O1  3.58E-04  1.347E-02  7.72E-19
                            L2-O3  1.49E-05  1.369E-02  3.27E-20
                            L2-O4  1.03E-02  1.388E-02  2.30E-17
                            L2-O6  3.94E-05  1.414E-02  8.93E-20
                            L2-P1  7.36E-05  1.413E-02  1.67E-19
                            L2-P3  2.97E-06  1.419E-02  6.76E-21
                            L2-Q1  1.07E-03  1.424E-02  2.45E-18
                            L3-M2  7.12E-06  1.424E-02  1.62E-20
                            L3-N5  1.30E-02  8.750E-03  1.82E-17
                            L3-N6  1.29E-04  9.013E-03  1.87E-19
                            L3-N7  1.17E-04  9.450E-03  1.77E-19
                            L3-O1  2.26E-02  9.892E-03  3.59E-17
                            L3-O2  1.99E-01  9.986E-03  3.19E-16
                            L3-O3  2.78E-03  1.150E-02  5.12E-18
                            L3-O4  2.90E-05  1.161E-02  5.40E-20
                            L3-O5  2.94E-05  1.172E-02  5.52E-20
                            L3-O6  4.17E-03  1.191E-02  7.95E-18
                            L3-O7  3.76E-02  1.193E-02  7.19E-17
                            L3-P1  2.94E-05  1.217E-02  5.73E-20
                            L3-P2  1.64E-04  1.218E-02  3.21E-19
                            L3-P3  5.92E-04  1.216E-02  1.15E-18
                            L3-Q1  6.07E-06  1.220E-02  1.19E-20
                            M1-M2  6.14E-06  1.222E-02  1.20E-20
                            M1-M3  4.23E-04  1.227E-02  8.32E-19
                            M1-N2  3.70E-03  1.227E-02  7.28E-18
                            M1-03  5.48E-05  1.228E-02  1.08E-19
                            M3-M5  7.50E-02  2.221E-03  2.67E-17
                            M3-N1  1.58E-03  3.150E-04  7.99E-20
                            M3-N4  1.01E-05  6.194E-05  1.00E-22
                            M3-N5  2.32E+01  1.470E-05  5.46E-17
                            K -L2  1.35E-01  6.718E-02  1.45E-15
                            K -L3  2.29E-01  6.904E-02  2.54E-15
                            K -M2  2.52E-02  7.782E-02  3.14E-16
                            K -M3  4.88E-02  7.823E-02  6.11E-16
                            K -M4  6.32E-04  7.866E-02  7.97E-18
                            K -M5  7.78E-04  7.875E-02  9.81E-18
                            L -M4  5.91E-03  8.032E-02  7.61E-17
                            L -M5  1.16E-02  8.042E-02  1.49E-16
                            K -N2  1.62E-04  8.061E-02  2.10E-18
                            K -N3  1.99E-04  8.062E-02  2.57E-18
                            K -N4  1.36E-03  8.088E-02  1.76E-17
                            K -N5  2.69E-03  8.090E-02  3.49E-17
                            K -O2  1.52E-05  8.095E-02  1.97E-19
                            K -O3  1.82E-05  8.095E-02  2.35E-19
                            L1-L3  1.14E-06  5.600E-04  1.02E-22
                            L1-M2  2.20E-04  2.414E-03  8.52E-20
                            L1-M3  2.84E-03  1.119E-02  5.09E-18
                            L1-M4  3.28E-03  1.160E-02  6.09E-18
                            L1-M5  9.47E-05  1.204E-02  1.83E-19
                            L1-N2  1.42E-04  1.212E-02  2.75E-19
                            L1-N3  7.19E-04  1.370E-02  1.58E-18
                            L1-N4  8.93E-04  1.380E-02  1.97E-18
                            L1-N5  1.41E-05  1.398E-02  3.16E-20
                            L1-O2  2.22E-05  1.400E-02  4.98E-20
                            L1-O3  1.29E-04  1.426E-02  2.94E-19
                            L1-03  1.55E-04  1.427E-02  3.55E-19
                            L1-O4  1.22E-06  1.432E-02  2.81E-21
                            L1-O5  1.89E-06  1.433E-02  4.33E-21
                            L2-N1  2.24E-06  1.854E-03  6.64E-22
                            L2-N3  2.52E-03  1.037E-02  4.19E-18
                            L2-N4  9.55E-05  1.104E-02  1.69E-19
                            L2-N6  9.30E-02  1.148E-02  1.71E-16
                            L2-O1  6.39E-04  1.303E-02  1.33E-18
                            L2-O3  2.58E-05  1.324E-02  5.48E-20
                            L2-O4  1.84E-02  1.342E-02  3.95E-17
                            L2-O6  6.64E-05  1.368E-02  1.46E-19
                            L2-P1  1.29E-04  1.366E-02  2.83E-19
                            L2-P3  5.13E-06  1.371E-02  1.13E-20
                            L2-Q1  1.68E-03  1.376E-02  3.70E-18
                            L3-M2  9.42E-06  1.377E-02  2.08E-20
                            L3-N5  7.32E-03  8.521E-03  1.00E-17
                            L3-N6  7.12E-05  8.778E-03  1.00E-19
                            L3-N7  6.44E-05  9.188E-03  9.48E-20
                            L3-O1  1.27E-02  9.621E-03  1.96E-17
                            L3-O2  1.12E-01  9.710E-03  1.75E-16
                            L3-O3  1.54E-03  1.117E-02  2.75E-18
                            L3-O4  1.59E-05  1.129E-02  2.87E-20
                            L3-O5  1.60E-05  1.138E-02  2.92E-20
                            L3-O6  2.33E-03  1.157E-02  4.31E-18
                            L3-O7  2.10E-02  1.159E-02  3.89E-17
                            L3-P1  1.54E-05  1.182E-02  2.92E-20
                            L3-P2  8.64E-05  1.183E-02  1.64E-19
                            L3-P3  3.24E-04  1.181E-02  6.14E-19
                            L3-Q1  3.32E-06  1.184E-02  6.30E-21
                            M1-M2  3.32E-06  1.186E-02  6.31E-21
                            M1-M3  2.09E-04  1.191E-02  3.98E-19
                            M1-N2  1.81E-03  1.191E-02  3.46E-18
                            M1-03  2.45E-05  1.191E-02  4.67E-20
                            M3-M5  4.03E-02  2.147E-03  1.38E-17
                            M3-N1  8.79E-04  3.005E-04  4.23E-20
                            M3-N4  3.96E-06  5.619E-05  3.56E-23
                            M3-N5  1.33E+01  1.110E-05  2.37E-17
                                                  Total 7.06E-15
Hg-197  64.94 h EC          K -L2  2.17E-01  6.718E-02  2.34E-15
                            K -L3  3.70E-01  6.904E-02  4.09E-15
                            K -M2  4.07E-02  7.782E-02  5.07E-16
                            K -M3  7.87E-02  7.823E-02  9.86E-16
                            K -M4  1.02E-03  7.866E-02  1.29E-17
                            K -M5  1.25E-03  7.875E-02  1.58E-17
                            L -M4  9.54E-03  8.032E-02  1.23E-16
                            L -M5  1.86E-02  8.042E-02  2.40E-16
                            K -N2  2.62E-04  8.061E-02  3.38E-18
                            K -N3  3.21E-04  8.062E-02  4.15E-18
                            K -N4  2.20E-03  8.088E-02  2.85E-17
                            K -N5  4.34E-03  8.090E-02  5.63E-17
                            K -O2  2.46E-05  8.095E-02  3.19E-19
                            K -O3  2.93E-05  8.095E-02  3.80E-19
                            L1-L3  5.72E-06  5.600E-04  5.13E-22
                            L1-M2  1.10E-03  2.414E-03  4.27E-19
                            L1-M3  1.42E-02  1.119E-02  2.55E-17
                            L1-M4  1.64E-02  1.160E-02  3.05E-17
                            L1-M5  4.75E-04  1.204E-02  9.15E-19
                            L1-N2  7.11E-04  1.212E-02  1.38E-18
                            L1-N3  3.60E-03  1.370E-02  7.91E-18
                            L1-N4  4.48E-03  1.380E-02  9.90E-18
                            L1-N5  7.07E-05  1.398E-02  1.58E-19
                            L1-O2  1.11E-04  1.400E-02  2.50E-19
                            L1-O3  6.45E-04  1.426E-02  1.47E-18
                            L1-03  7.78E-04  1.427E-02  1.78E-18
                            L1-O4  6.14E-06  1.432E-02  1.41E-20
                            L1-O5  9.46E-06  1.433E-02  2.17E-20
                            L2-N1  3.02E-06  1.854E-03  8.98E-22
                            L2-N3  3.41E-03  1.037E-02  5.67E-18
                            L2-N4  1.29E-04  1.104E-02  2.28E-19
                            L2-N6  1.26E-01  1.148E-02  2.31E-16
                            L2-O1  8.64E-04  1.303E-02  1.80E-18
                            L2-O3  3.49E-05  1.324E-02  7.40E-20
                            L2-O4  2.48E-02  1.342E-02  5.34E-17
                            L2-O6  8.98E-05  1.368E-02  1.97E-19
                            L2-P1  1.75E-04  1.366E-02  3.82E-19
                            L2-P3  6.94E-06  1.371E-02  1.52E-20
                            L2-Q1  2.27E-03  1.376E-02  5.00E-18
                            L3-M2  1.27E-05  1.377E-02  2.81E-20
                            L3-N5  1.35E-02  8.521E-03  1.84E-17
                            L3-N6  1.31E-04  8.778E-03  1.84E-19
                            L3-N7  1.18E-04  9.188E-03  1.74E-19
                            L3-O1  2.34E-02  9.621E-03  3.61E-17
                            L3-O2  2.06E-01  9.710E-03  3.21E-16
                            L3-O3  2.82E-03  1.117E-02  5.05E-18
                            L3-O4  2.92E-05  1.129E-02  5.27E-20
                            L3-O5  2.94E-05  1.138E-02  5.36E-20
                            L3-O6  4.28E-03  1.157E-02  7.93E-18
                            L3-O7  3.85E-02  1.159E-02  7.16E-17
                            L3-P1  2.84E-05  1.182E-02  5.37E-20
                            L3-P2  1.59E-04  1.183E-02  3.01E-19
                            L3-P3  5.96E-04  1.181E-02  1.13E-18
                            L3-Q1  6.10E-06  1.184E-02  1.16E-20
                            M1-M2  6.11E-06  1.186E-02  1.16E-20
                            M1-M3  3.83E-04  1.191E-02  7.32E-19
                            M1-N2  3.33E-03  1.191E-02  6.36E-18
                            M1-03  4.50E-05  1.191E-02  8.59E-20
                            M3-M5  7.58E-02  2.146E-03  2.61E-17
                            M3-N1  1.64E-03  3.012E-04  7.90E-20
                            M3-N4  7.54E-06  5.611E-05  6.78E-23
                            M3-N5  2.51E+01  1.110E-05  4.46E-17
                                                  Total 9.33E-15
Hg-197m 23.8 h EC IT        K -L2  9.47E-02  6.910E-02  1.05E-15
                            K -L3  1.61E-01  7.107E-02  1.83E-15
                            K -M2  1.77E-02  8.008E-02  2.28E-16
                            K -M3  3.43E-02  8.052E-02  4.43E-16
                            K -M4  4.58E-04  8.096E-02  5.94E-18
                            K -M5  5.60E-04  8.105E-02  7.27E-18
                            L -M4  4.18E-03  8.268E-02  5.54E-17
                            L -M5  8.19E-03  8.279E-02  1.09E-16
                            K -N2  1.19E-04  8.297E-02  1.58E-18
                            K -N3  1.45E-04  8.299E-02  1.93E-18
                            K -N4  9.66E-04  8.327E-02  1.29E-17
                            K -N5  1.90E-03  8.328E-02  2.53E-17
                            K -O2  1.27E-05  8.334E-02  1.69E-19
                            K -O3  1.50E-05  8.334E-02  2.00E-19
                            L1-L3  2.21E-06  5.720E-04  2.03E-22
                            L1-M2  4.70E-04  2.539E-03  1.91E-19
                            L1-M3  5.74E-03  1.155E-02  1.06E-17
                            L1-M4  6.51E-03  1.199E-02  1.25E-17
                            L1-M5  1.97E-04  1.243E-02  3.92E-19
                            L1-N2  2.95E-04  1.253E-02  5.91E-19
                            L1-N3  1.46E-03  1.415E-02  3.31E-18
